Pokemon_Name,Levelup_Learnset
Bulbasaur,"['1, TACKLE', '4, GROWL', '7, LEECH_SEED', '10, VINE_WHIP', '15, POISONPOWDER', '15, SLEEP_POWDER', '20, RAZOR_LEAF ;', '25, SIGNAL_BEAM', '32, GROWTH', '39, SYNTHESIS', '46, SOLARBEAM']"
Ivysaur,"['1, TACKLE', '1, GROWL', '1, LEECH_SEED', '4, GROWL', '7, LEECH_SEED', '10, VINE_WHIP', '15, POISONPOWDER', '15, SLEEP_POWDER', '22, RAZOR_LEAF ;', '29, SIGNAL_BEAM', '38, GROWTH', '47, SYNTHESIS', '56, SOLARBEAM']"
Venusaur,"['1, LEECH_SEED', '10, VINE_WHIP', '15, POISONPOWDER', '15, SLEEP_POWDER', '22, RAZOR_LEAF ;', '29, SIGNAL_BEAM', '33, SAFEGUARD', '36, LIGHT_SCREEN', '38, SKULL_BASH', '41, GROWTH', '53, SYNTHESIS', '58, GIGA_DRAIN', '60, SOLARBEAM']"
Charmander,"['1, SCRATCH', '1, GROWL', '7, EMBER', '13, SMOKESCREEN', '19, RAGE', '25, SCARY_FACE', '31, FLAMETHROWER', '37, SLASH', '43, DRAGON_RAGE', '49, FIRE_SPIN']"
Charmeleon,"['1, SCRATCH', '1, GROWL', '1, EMBER', '7, EMBER', '13, SMOKESCREEN', '20, RAGE', '27, SCARY_FACE', '34, FLAMETHROWER', '41, SLASH', '48, DRAGON_RAGE', '55, FIRE_SPIN']"
Charizard,"['1, EMBER', '20, RAGE', '27, SCARY_FACE', '34, FLAMETHROWER', '35, BITE', '36, WING_ATTACK', '38, ROCK_SLIDE', '40, OUTRAGE', '42, BELLY_DRUM', '44, SLASH', '48, ANCIENTPOWER', '54, DRAGON_RAGE', '58, FIRE_BLAST']"
Squirtle,"['1, TACKLE', '4, TAIL_WHIP', '7, BUBBLE', '10, WITHDRAW', '13, WATER_GUN', '18, BITE', '23, RAPID_SPIN', '28, PROTECT', '33, RAIN_DANCE', '40, SKULL_BASH', '47, HYDRO_PUMP']"
Wartortle,"['1, TACKLE', '1, TAIL_WHIP', '1, BUBBLE', '4, TAIL_WHIP', '7, BUBBLE', '10, WITHDRAW', '13, WATER_GUN', '19, BITE', '25, RAPID_SPIN', '31, PROTECT', '37, RAIN_DANCE', '45, SKULL_BASH', '53, HYDRO_PUMP']"
Blastoise,"['1, WATER_GUN', '19, BITE', '25, RAPID_SPIN', '31, PROTECT', '33, METAL_CLAW', '35, MIRROR_COAT', '38, CONFUSION', '42, RAIN_DANCE', '45, HAZE', '48, MIST', '50, ZAP_CANNON', '55, SKULL_BASH', '58, HYDRO_PUMP']"
Caterpie,"['1, TACKLE', '1, STRING_SHOT']"
Metapod,"['1, HARDEN', '7, HARDEN']"
Butterfree,"['1, CONFUSION', '10, CONFUSION', '13, POISONPOWDER', '14, STUN_SPORE', '15, SLEEP_POWDER', '18, PSYBEAM', '23, WHIRLWIND', '28, GUST', '34, PSYCHIC', '38, SIGNAL_BEAM', '40, SAFEGUARD', '50, RAZOR_WIND']"
Weedle,"['1, POISON_STING', '1, STRING_SHOT']"
Kakuna,"['1, HARDEN', '7, HARDEN']"
Beedrill,"['1, FURY_ATTACK', '10, FURY_ATTACK', '15, FOCUS_ENERGY', '20, TWINEEDLE', '25, DOUBLE_EDGE', '30, PURSUIT', '35, PIN_MISSILE', '40, AGILITY']"
Pidgey,"['1, TACKLE', '5, SAND_ATTACK', '9, GUST', '15, QUICK_ATTACK', '21, WHIRLWIND', '29, WING_ATTACK', '37, AGILITY', '47, MIRROR_MOVE']"
Pidgeotto,"['1, TACKLE', '1, SAND_ATTACK', '1, GUST', '5, SAND_ATTACK', '9, GUST', '15, QUICK_ATTACK', '23, WHIRLWIND', '33, WING_ATTACK', '43, AGILITY', '50, RAZOR_WIND', '55, MIRROR_MOVE']"
Pidgeot,"['1, TACKLE', '1, SAND_ATTACK', '1, GUST', '1, QUICK_ATTACK', '5, SAND_ATTACK', '9, GUST', '15, QUICK_ATTACK', '23, WHIRLWIND', '33, WING_ATTACK', '37, PURSUIT', '39, MIMIC', '46, AGILITY', '54, RAZOR_WIND', '61, MIRROR_MOVE']"
Rattata,"['1, TACKLE', '1, TAIL_WHIP', '7, QUICK_ATTACK', '13, HYPER_FANG', '20, FOCUS_ENERGY', '27, PURSUIT', '36, SNORE', '34, SUPER_FANG']"
Raticate,"['1, TACKLE', '1, TAIL_WHIP', '1, QUICK_ATTACK', '7, QUICK_ATTACK', '13, HYPER_FANG', '20, SCARY_FACE', '21, MIMIC', '24, SCREECH', '27, FLAME_WHEEL', '29, COUNTER', '30, PURSUIT', '35, REVERSAL', '38, SNORE', '40, SUPER_FANG']"
Spearow,"['1, PECK', '1, GROWL', '7, LEER', '13, FURY_ATTACK', '25, PURSUIT', '31, MIRROR_MOVE', '37, DRILL_PECK', '43, AGILITY']"
Fearow,"['1, PECK', '1, GROWL', '1, LEER', '1, FURY_ATTACK', '7, LEER', '13, FURY_ATTACK', '22, SCARY_FACE', '26, PURSUIT', '29, QUICK_ATTACK', '32, MIRROR_MOVE', '35, TRI_ATTACK', '40, DRILL_PECK', '47, AGILITY']"
Ekans,"['1, WRAP', '1, LEER', '9, POISON_STING', '15, BITE', '23, GLARE', '29, SCREECH', '37, ACID', '43, HAZE']"
Arbok,"['1, POISON_STING', '1, BITE', '9, POISON_STING', '15, BITE', '23, DRAGONBREATH', '24, ACID', '25, GLARE', '33, SCREECH', '37, PURSUIT', '40, CRUNCH', '45, DRAGON_RAGE', '51, HAZE']"
Pikachu,"['1, THUNDERSHOCK', '1, GROWL', '6, TAIL_WHIP', '8, THUNDER_WAVE', '11, QUICK_ATTACK', '15, DOUBLE_TEAM', '20, SLAM', '26, THUNDERBOLT', '33, AGILITY', '41, THUNDER', '50, LIGHT_SCREEN']"
Raichu,"['1, THUNDERSHOCK', '6, TAIL_WHIP', '8, THUNDER_WAVE', '11, QUICK_ATTACK', '15, DOUBLE_TEAM', '20, SLAM', '26, THUNDERBOLT', '28, REVERSAL', '33, AGILITY', '39, ENCORE', '41, THUNDER', '48, SURF', '50, LIGHT_SCREEN']"
Sandshrew,"['1, SCRATCH', '6, DEFENSE_CURL', '11, SAND_ATTACK', '17, POISON_STING', '23, SLASH', '30, SWIFT', '37, FURY_SWIPES', '45, SANDSTORM']"
Sandslash,"['1, DEFENSE_CURL', '11, SAND_ATTACK', '17, POISON_STING', '23, PIN_MISSILE', '24, SLASH', '27, SAFEGUARD', '31, SPIKES', '33, SWIFT', '39, RAPID_SPIN', '42, TWINEEDLE', '44, METAL_CLAW', '52, EARTHQUAKE']"
NidoranF,"['1, GROWL', '1, TACKLE', '8, SCRATCH', '12, DOUBLE_KICK', '17, POISON_STING', '23, TAIL_WHIP', '30, BITE', '38, FURY_SWIPES', '45, EARTH_POWER']"
Nidorina,"['1, GROWL', '1, TACKLE', '8, SCRATCH', '12, DOUBLE_KICK', '19, POISON_STING', '27, TAIL_WHIP', '36, BITE', '46, FURY_SWIPES', '51, EARTH_POWER']"
Nidoqueen,"['1, TACKLE', '1, SCRATCH', '1, DOUBLE_KICK', '1, TAIL_WHIP', '23, BODY_SLAM', '27, TAIL_WHIP', '29, DISABLE', '34, COUNTER', '36, BITE', '40, CHARM', '46, EARTHQUAKE', '63, EARTH_POWER']"
NidoranM,"['1, LEER', '1, TACKLE', '8, HORN_ATTACK', '12, DOUBLE_KICK', '17, POISON_STING', '23, FOCUS_ENERGY', '30, FURY_ATTACK', '38, HORN_DRILL', '45, EARTH_POWER']"
Nidorino,"['1, LEER', '1, TACKLE', '8, HORN_ATTACK', '12, DOUBLE_KICK', '19, POISON_STING', '27, FOCUS_ENERGY', '36, FURY_ATTACK', '46, HORN_DRILL', '51, EARTH_POWER']"
