Pokemon_Name,Levelup_Learnset
Bulbasaur,"['1, TACKLE', '4, GROWL', '7, LEECH_SEED', '10, VINE_WHIP', '15, POISONPOWDER', '15, SLEEP_POWDER', '20, RAZOR_LEAF', '25, SWEET_SCENT', '32, GROWTH', '39, SYNTHESIS', '46, SOLARBEAM']"
Ivysaur,"['1, TACKLE', '1, GROWL', '1, LEECH_SEED', '4, GROWL', '7, LEECH_SEED', '10, VINE_WHIP', '15, POISONPOWDER', '15, SLEEP_POWDER', '22, RAZOR_LEAF', '29, SWEET_SCENT', '38, GROWTH', '47, SYNTHESIS', '56, SOLARBEAM']"
Venusaur,"['1, TACKLE', '1, GROWL', '1, LEECH_SEED', '1, VINE_WHIP', '4, GROWL', '7, LEECH_SEED', '10, VINE_WHIP', '15, POISONPOWDER', '15, SLEEP_POWDER', '22, RAZOR_LEAF', '29, SWEET_SCENT', '41, GROWTH', '53, SYNTHESIS', '65, SOLARBEAM']"
Charmander,"['1, SCRATCH', '1, GROWL', '7, EMBER', '13, SMOKESCREEN', '19, RAGE', '25, SCARY_FACE', '31, FLAMETHROWER', '37, SLASH', '43, DRAGON_RAGE', '49, FIRE_SPIN']"
Charmeleon,"['1, SCRATCH', '1, GROWL', '1, EMBER', '7, EMBER', '13, SMOKESCREEN', '20, RAGE', '27, SCARY_FACE', '34, FLAMETHROWER', '41, SLASH', '48, DRAGON_RAGE', '55, FIRE_SPIN']"
Charizard,"['1, SCRATCH', '1, GROWL', '1, EMBER', '1, SMOKESCREEN', '7, EMBER', '13, SMOKESCREEN', '20, RAGE', '27, SCARY_FACE', '34, FLAMETHROWER', '36, WING_ATTACK', '44, SLASH', '54, DRAGON_RAGE', '64, FIRE_SPIN']"
Squirtle,"['1, TACKLE', '4, TAIL_WHIP', '7, BUBBLE', '10, WITHDRAW', '13, WATER_GUN', '18, BITE', '23, RAPID_SPIN', '28, PROTECT', '33, RAIN_DANCE', '40, SKULL_BASH', '47, HYDRO_PUMP']"
Wartortle,"['1, TACKLE', '1, TAIL_WHIP', '1, BUBBLE', '4, TAIL_WHIP', '7, BUBBLE', '10, WITHDRAW', '13, WATER_GUN', '19, BITE', '25, RAPID_SPIN', '31, PROTECT', '37, RAIN_DANCE', '45, SKULL_BASH', '53, HYDRO_PUMP']"
Blastoise,"['1, TACKLE', '1, TAIL_WHIP', '1, BUBBLE', '1, WITHDRAW', '4, TAIL_WHIP', '7, BUBBLE', '10, WITHDRAW', '13, WATER_GUN', '19, BITE', '25, RAPID_SPIN', '31, PROTECT', '42, RAIN_DANCE', '55, SKULL_BASH', '68, HYDRO_PUMP']"
Caterpie,"['1, TACKLE', '1, STRING_SHOT']"
Metapod,"['1, HARDEN', '7, HARDEN']"
Butterfree,"['1, CONFUSION', '10, CONFUSION', '13, POISONPOWDER', '14, STUN_SPORE', '15, SLEEP_POWDER', '18, SUPERSONIC', '23, WHIRLWIND', '28, GUST', '34, PSYBEAM', '40, SAFEGUARD']"
Weedle,"['1, POISON_STING', '1, STRING_SHOT']"
Kakuna,"['1, HARDEN', '7, HARDEN']"
Beedrill,"['1, FURY_ATTACK', '10, FURY_ATTACK', '15, FOCUS_ENERGY', '20, TWINEEDLE', '25, RAGE', '30, PURSUIT', '35, PIN_MISSILE', '40, AGILITY']"
Pidgey,"['1, TACKLE', '5, SAND_ATTACK', '9, GUST', '15, QUICK_ATTACK', '21, WHIRLWIND', '29, WING_ATTACK', '37, AGILITY', '47, MIRROR_MOVE']"
Pidgeotto,"['1, TACKLE', '1, SAND_ATTACK', '1, GUST', '5, SAND_ATTACK', '9, GUST', '15, QUICK_ATTACK', '23, WHIRLWIND', '33, WING_ATTACK', '43, AGILITY', '55, MIRROR_MOVE']"
Pidgeot,"['1, TACKLE', '1, SAND_ATTACK', '1, GUST', '1, QUICK_ATTACK', '5, SAND_ATTACK', '9, GUST', '15, QUICK_ATTACK', '23, WHIRLWIND', '33, WING_ATTACK', '46, AGILITY', '61, MIRROR_MOVE']"
Rattata,"['1, TACKLE', '1, TAIL_WHIP', '7, QUICK_ATTACK', '13, HYPER_FANG', '20, FOCUS_ENERGY', '27, PURSUIT', '34, SUPER_FANG']"
Raticate,"['1, TACKLE', '1, TAIL_WHIP', '1, QUICK_ATTACK', '7, QUICK_ATTACK', '13, HYPER_FANG', '20, SCARY_FACE', '30, PURSUIT', '40, SUPER_FANG']"
Spearow,"['1, PECK', '1, GROWL', '7, LEER', '13, FURY_ATTACK', '25, PURSUIT', '31, MIRROR_MOVE', '37, DRILL_PECK', '43, AGILITY']"
Fearow,"['1, PECK', '1, GROWL', '1, LEER', '1, FURY_ATTACK', '7, LEER', '13, FURY_ATTACK', '26, PURSUIT', '32, MIRROR_MOVE', '40, DRILL_PECK', '47, AGILITY']"
Ekans,"['1, WRAP', '1, LEER', '9, POISON_STING', '15, BITE', '23, GLARE', '29, SCREECH', '37, ACID', '43, HAZE']"
Arbok,"['1, WRAP', '1, LEER', '1, POISON_STING', '1, BITE', '9, POISON_STING', '15, BITE', '25, GLARE', '33, SCREECH', '43, ACID', '51, HAZE']"
Pikachu,"['1, THUNDERSHOCK', '1, GROWL', '6, TAIL_WHIP', '8, THUNDER_WAVE', '11, QUICK_ATTACK', '15, DOUBLE_TEAM', '20, SLAM', '26, THUNDERBOLT', '33, AGILITY', '41, THUNDER', '50, LIGHT_SCREEN']"
Raichu,"['1, THUNDERSHOCK', '1, TAIL_WHIP', '1, QUICK_ATTACK', '1, THUNDERBOLT']"
