,Move_Name,Move_Effect,Move_Accuracy,Move_Type,Move_Category,Move_Power,Move_PP,Move_Effect_Proc_Chance,Desc_Name,Move_Description
0,POUND,EFFECT_NORMAL_HIT,40,NORMAL,PHYSICAL,100,35,0,Pound,Pounds with fore- legs or tail.
1,KARATE_CHOP,EFFECT_NORMAL_HIT,50,FIGHTING,PHYSICAL,100,25,0,KarateChop,Has a high criti- cal hit ratio.
2,DOUBLESLAP,EFFECT_MULTI_HIT,15,NORMAL,PHYSICAL,85,10,0,Doubleslap,Repeatedly slaps 2-5 times.
3,COMET_PUNCH,EFFECT_MULTI_HIT,18,NORMAL,PHYSICAL,85,15,0,CometPunch,Repeatedly punches 2-5 times.
4,MEGA_PUNCH,EFFECT_NORMAL_HIT,80,NORMAL,PHYSICAL,85,20,0,MegaPunch,A powerful punch thrown very hard.
5,PAY_DAY,EFFECT_PAY_DAY,40,NORMAL,PHYSICAL,100,20,0,PayDay,Throws coins. Gets them back later.
6,FIRE_PUNCH,EFFECT_BURN_HIT,75,FIRE,SPECIAL,100,15,10,FirePunch,A fiery punch. May cause a burn.
7,ICE_PUNCH,EFFECT_FREEZE_HIT,75,ICE,SPECIAL,100,15,10,IcePunch,An icy punch. May cause freezing.
8,THUNDERPUNCH,EFFECT_PARALYZE_HIT,75,ELECTRIC,SPECIAL,100,15,10,Thunderpunch,An electric punch. It may paralyze.
9,SCRATCH,EFFECT_NORMAL_HIT,40,NORMAL,PHYSICAL,100,35,0,Scratch,Scratches with sharp claws.
10,VICEGRIP,EFFECT_NORMAL_HIT,55,NORMAL,PHYSICAL,100,30,0,Vicegrip,Grips with power- ful pincers.
11,GUILLOTINE,EFFECT_OHKO,0,NORMAL,PHYSICAL,30,5,0,Guillotine,"A one-hit KO, pincer attack."
12,RAZOR_WIND,EFFECT_RAZOR_WIND,80,NORMAL,PHYSICAL,75,10,0,RazorWind,1st turn: Prepare 2nd turn: Attack
13,SWORDS_DANCE,EFFECT_ATTACK_UP_2,0,NORMAL,PHYSICAL,100,30,0,SwordsDance,A dance that in- creases ATTACK.
14,CUT,EFFECT_NORMAL_HIT,50,NORMAL,PHYSICAL,95,30,0,Cut,"Cuts using claws, scythes, etc."
15,GUST,EFFECT_GUST,40,FLYING,PHYSICAL,100,35,0,Gust,Whips up a strong gust of wind.
16,WING_ATTACK,EFFECT_NORMAL_HIT,60,FLYING,PHYSICAL,100,35,0,WingAttack,Strikes the target with wings.
17,WHIRLWIND,EFFECT_FORCE_SWITCH,0,NORMAL,PHYSICAL,100,20,0,Whirlwind,Blows away the foe & ends battle.
18,FLY,EFFECT_FLY,70,FLYING,PHYSICAL,95,15,0,Fly,1st turn: Fly 2nd turn: Attack
19,BIND,EFFECT_TRAP_TARGET,15,NORMAL,PHYSICAL,75,20,0,Bind,Binds the target for 2-5 turns.
20,SLAM,EFFECT_NORMAL_HIT,80,NORMAL,PHYSICAL,75,20,0,Slam,"Slams the foe with a tail, vine, etc."
21,VINE_WHIP,EFFECT_NORMAL_HIT,35,GRASS,SPECIAL,100,10,0,VineWhip,Whips the foe with slender vines.
22,STOMP,EFFECT_STOMP,65,NORMAL,PHYSICAL,100,20,30,Stomp,An attack that may cause flinching.
23,DOUBLE_KICK,EFFECT_DOUBLE_HIT,30,FIGHTING,PHYSICAL,100,30,0,DoubleKick,A double kicking attack.
24,MEGA_KICK,EFFECT_NORMAL_HIT,120,NORMAL,PHYSICAL,75,5,0,MegaKick,A powerful kicking attack.
25,JUMP_KICK,EFFECT_JUMP_KICK,70,FIGHTING,PHYSICAL,95,25,0,JumpKick,"May miss, damaging the user."
26,ROLLING_KICK,EFFECT_FLINCH_HIT,60,FIGHTING,PHYSICAL,85,15,30,RollingKick,"A fast, spinning kick."
27,SAND_ATTACK,EFFECT_ACCURACY_DOWN,0,GROUND,PHYSICAL,100,15,0,SandAttack,Reduces accuracy by throwing sand.
28,HEADBUTT,EFFECT_FLINCH_HIT,70,NORMAL,PHYSICAL,100,15,30,Headbutt,An attack that may make foe flinch.
29,HORN_ATTACK,EFFECT_NORMAL_HIT,65,NORMAL,PHYSICAL,100,25,0,HornAttack,An attack using a horn to jab.
30,FURY_ATTACK,EFFECT_MULTI_HIT,15,NORMAL,PHYSICAL,85,20,0,FuryAttack,Jabs the target 2-5 times.
31,HORN_DRILL,EFFECT_OHKO,1,NORMAL,PHYSICAL,30,5,0,HornDrill,"A one-hit KO, drill attack."
32,TACKLE,EFFECT_NORMAL_HIT,35,NORMAL,PHYSICAL,95,35,0,Tackle,A full-body charge attack.
33,BODY_SLAM,EFFECT_PARALYZE_HIT,85,NORMAL,PHYSICAL,100,15,30,BodySlam,An attack that may cause paralysis.
34,WRAP,EFFECT_TRAP_TARGET,15,NORMAL,PHYSICAL,85,20,0,Wrap,Squeezes the foe for 2-5 turns.
35,TAKE_DOWN,EFFECT_RECOIL_HIT,90,NORMAL,PHYSICAL,85,20,0,TakeDown,A tackle that also hurts the user.
36,THRASH,EFFECT_RAMPAGE,90,NORMAL,PHYSICAL,100,20,0,Thrash,Works 2-3 turns and confuses user.
37,DOUBLE_EDGE,EFFECT_RECOIL_HIT,120,NORMAL,PHYSICAL,100,15,0,DoubleEdge,A tackle that also hurts the user.
38,TAIL_WHIP,EFFECT_DEFENSE_DOWN,0,NORMAL,PHYSICAL,100,30,0,TailWhip,Lowers the foe's DEFENSE.
39,POISON_STING,EFFECT_POISON_HIT,15,POISON,PHYSICAL,100,35,30,PoisonSting,An attack that may poison the target.
