Pokemon_Name,Pokedex_Number,HP_Base_Stat,Attack_Base_Stat,Defense_Base_Stat,Speed_Base_Stat,Special_Attack_Base_Stat,Special_Defense_Base_Stat,Type1,Type2,Catch_Rate,Base_Exp,4_Percent_Item,1_Percent_Item,Gender_Ratio,Step_Cycles_To_Hatch_Egg,Growth_Rate,Egg_Group1,Egg_Group2,TM_HM_Moves
ABRA ,063,25,20,15,90,105,55,PSYCHIC_TYPE, PSYCHIC_TYPE ,200,73,NO_ITEM, NO_ITEM ,GENDER_F25 ,100 ,"INCBIN ""gfx/pokemon/abra/front.dimensions""",dw NULL,dw NULL,
AERODACTYL ,142,80,105,65,130,60,75,ROCK, FLYING ,45,202,NO_ITEM, NO_ITEM ,GENDER_F12_5 ,100 ,"INCBIN ""gfx/pokemon/aerodactyl/front.dimensions""",dw NULL,dw NULL,
AIPOM ,190,55,70,55,85,40,55,NORMAL, NORMAL ,45,94,NO_ITEM, NO_ITEM ,GENDER_F50 ,100 ,"INCBIN ""gfx/pokemon/aipom/front.dimensions""",dw NULL,dw NULL,
ALAKAZAM ,065,55,50,45,120,135,85,PSYCHIC_TYPE, PSYCHIC_TYPE ,50,186,NO_ITEM, NO_ITEM ,GENDER_F25 ,100 ,"INCBIN ""gfx/pokemon/alakazam/front.dimensions""",dw NULL,dw NULL,
AMPHAROS ,181,90,75,75,55,115,90,ELECTRIC, ELECTRIC ,45,194,NO_ITEM, NO_ITEM ,GENDER_F50 ,100 ,"INCBIN ""gfx/pokemon/ampharos/front.dimensions""",dw NULL,dw NULL,
ARBOK ,024,60,85,69,80,65,79,POISON, POISON ,90,147,NO_ITEM, NO_ITEM ,GENDER_F50 ,100 ,"INCBIN ""gfx/pokemon/arbok/front.dimensions""",dw NULL,dw NULL,
ARCANINE ,059,90,110,80,95,100,80,FIRE, FIRE ,75,213,BURNT_BERRY, BURNT_BERRY ,GENDER_F25 ,100 ,"INCBIN ""gfx/pokemon/arcanine/front.dimensions""",dw NULL,dw NULL,
ARIADOS ,168,70,90,70,40,60,60,BUG, POISON ,90,134,NO_ITEM, NO_ITEM ,GENDER_F50 ,100 ,"INCBIN ""gfx/pokemon/ariados/front.dimensions""",dw NULL,dw NULL,
ARTICUNO ,144,90,85,100,85,95,125,ICE, FLYING ,3,215,NO_ITEM, NO_ITEM ,GENDER_UNKNOWN ,100 ,"INCBIN ""gfx/pokemon/articuno/front.dimensions""",dw NULL,dw NULL,
AZUMARILL ,184,100,50,80,50,50,80,WATER, WATER ,75,153,NO_ITEM, NO_ITEM ,GENDER_F50 ,100 ,"INCBIN ""gfx/pokemon/azumarill/front.dimensions""",dw NULL,dw NULL,
BAYLEEF ,153,60,62,80,60,63,80,GRASS, GRASS ,45,141,NO_ITEM, NO_ITEM ,GENDER_F12_5 ,100 ,"INCBIN ""gfx/pokemon/bayleef/front.dimensions""",dw NULL,dw NULL,
BEEDRILL ,015,65,80,40,75,45,80,BUG, POISON ,45,159,NO_ITEM, POISON_BARB ,GENDER_F50 ,100 ,"INCBIN ""gfx/pokemon/beedrill/front.dimensions""",dw NULL,dw NULL,
BELLOSSOM ,182,75,80,85,50,90,100,GRASS, GRASS ,45,184,NO_ITEM, NO_ITEM ,GENDER_F50 ,100 ,"INCBIN ""gfx/pokemon/bellossom/front.dimensions""",dw NULL,dw NULL,
BELLSPROUT ,069,50,75,35,40,70,30,GRASS, POISON ,255,84,NO_ITEM, NO_ITEM ,GENDER_F50 ,100 ,"INCBIN ""gfx/pokemon/bellsprout/front.dimensions""",dw NULL,dw NULL,
BLASTOISE ,009,79,83,100,78,85,105,WATER, WATER ,45,210,NO_ITEM, NO_ITEM ,GENDER_F12_5 ,100 ,"INCBIN ""gfx/pokemon/blastoise/front.dimensions""",dw NULL,dw NULL,
BLISSEY ,242,255,10,10,55,75,135,NORMAL, NORMAL ,30,255,NO_ITEM, LUCKY_EGG ,GENDER_F100 ,100 ,"INCBIN ""gfx/pokemon/blissey/front.dimensions""",dw NULL,dw NULL,
BULBASAUR ,001,45,49,49,45,65,65,GRASS, POISON ,45,64,NO_ITEM, NO_ITEM ,GENDER_F12_5 ,100 ,"INCBIN ""gfx/pokemon/bulbasaur/front.dimensions""",dw NULL,dw NULL,
BUTTERFREE ,012,60,45,50,70,80,80,BUG, FLYING ,45,160,NO_ITEM, SILVERPOWDER ,GENDER_F50 ,100 ,"INCBIN ""gfx/pokemon/butterfree/front.dimensions""",dw NULL,dw NULL,
CATERPIE ,010,45,30,35,45,20,20,BUG, BUG ,255,53,NO_ITEM, NO_ITEM ,GENDER_F50 ,100 ,"INCBIN ""gfx/pokemon/caterpie/front.dimensions""",dw NULL,dw NULL,
CELEBI ,251,100,100,100,100,100,100,PSYCHIC_TYPE, GRASS ,45,64,NO_ITEM, MIRACLEBERRY ,GENDER_UNKNOWN ,100 ,"INCBIN ""gfx/pokemon/celebi/front.dimensions""",dw NULL,dw NULL,
CHANSEY ,113,250,05,05,50,35,105,NORMAL, NORMAL ,30,255,NO_ITEM, LUCKY_EGG ,GENDER_F100 ,100 ,"INCBIN ""gfx/pokemon/chansey/front.dimensions""",dw NULL,dw NULL,
CHARIZARD ,006,78,84,78,100,109,85,FIRE, FLYING ,45,209,NO_ITEM, NO_ITEM ,GENDER_F12_5 ,100 ,"INCBIN ""gfx/pokemon/charizard/front.dimensions""",dw NULL,dw NULL,
