Pokemon_Name,Pokedex_Number,HP_Base_Stat,Attack_Base_Stat,Defense_Base_Stat,Speed_Base_Stat,Special_Attack_Base_Stat,Special_Defense_Base_Stat,Type1,Type2,Catch_Rate,Base_Exp,4_Percent_Item,1_Percent_Item,Gender_Ratio,Step_Cycles_To_Hatch_Egg,Growth_Rate,Egg_Group1,Egg_Group2,TM_HM_Moves
ABRA ,063,25,20,15,90,105,55,PSYCHIC, PSYCHIC ,200,73,NO_ITEM, NO_ITEM ,GENDER_F25 ,20 ,GROWTH_MEDIUM_SLOW,EGG_HUMANSHAPE,EGG_HUMANSHAPE,"DYNAMICPUNCH, HEADBUTT, CURSE, TOXIC, ZAP_CANNON, PSYCH_UP, HIDDEN_POWER, SUNNY_DAY, PROTECT, RAIN_DANCE, RETURN, PSYCHIC_M, SHADOW_BALL, ICE_PUNCH, SWAGGER, THUNDERPUNCH, DREAM_EATER, REST, SLEEP_TALK, ATTRACT, THIEF, FIRE_PUNCH, NIGHTMARE, FLASH"
AERODACTYL ,142,85,105,65,130,60,75,ROCK, FLYING ,45,202,NO_ITEM, NO_ITEM ,GENDER_F12_5 ,35 ,GROWTH_SLOW,EGG_FLYING,EGG_FLYING,"HEADBUTT, DOUBLE_EDGE, SANDSTORM, SUBSTITUTE, DRAGON_RAGE, ROCK_SLIDE, CURSE, ROAR, TOXIC, ROCK_SMASH, HIDDEN_POWER, HYPER_BEAM, PROTECT, RAIN_DANCE, IRON_TAIL, DRAGONBREATH, EARTHQUAKE, RETURN, SWAGGER, FIRE_BLAST, REST, SLEEP_TALK, ATTRACT, STEEL_WING, FLY, FLAMETHROWER, EARTH_POWER"
AIPOM ,190,65,85,55,90,50,60,NORMAL, NORMAL ,45,94,NO_ITEM, NO_ITEM ,GENDER_F50 ,20 ,GROWTH_FAST,EGG_GROUND,EGG_GROUND,"DYNAMICPUNCH, DOUBLE_EDGE, SUBSTITUTE, HEADBUTT, CURSE, TOXIC, ZAP_CANNON, ROCK_SMASH, HIDDEN_POWER, SUNNY_DAY, PROTECT, IRON_TAIL, THUNDER, RETURN, SHADOW_BALL, MUD_SLAP, ICE_PUNCH, SWAGGER, THUNDERPUNCH, DREAM_EATER, REST, SLEEP_TALK, ATTRACT, THIEF, FIRE_PUNCH, NIGHTMARE, CUT, STRENGTH, THUNDERBOLT, FURY_CUTTER, BRICK_BREAK"
ALAKAZAM ,065,60,50,45,120,135,85,PSYCHIC, PSYCHIC ,50,186,NO_ITEM, NO_ITEM ,GENDER_F25 ,20 ,GROWTH_MEDIUM_SLOW,EGG_HUMANSHAPE,EGG_HUMANSHAPE,"DYNAMICPUNCH, SUBSTITUTE, THUNDER_WAVE, SUBMISSION, TRI_ATTACK, HEADBUTT, CURSE, TOXIC, ZAP_CANNON, PSYCH_UP, HIDDEN_POWER, SUNNY_DAY, HYPER_BEAM, PROTECT, RAIN_DANCE, RETURN, DIG, PSYCHIC_M, SHADOW_BALL, ICE_PUNCH, SWAGGER, THUNDERPUNCH, DREAM_EATER, REST, SLEEP_TALK, ATTRACT, THIEF, FIRE_PUNCH, THUNDERBOLT, NIGHTMARE, FLASH, FOCUS_BLAST"
AMPHAROS ,181,90,80,75,55,115,90,ELECTRIC, ELECTRIC ,45,194,NO_ITEM, NO_ITEM ,GENDER_F50 ,20 ,GROWTH_MEDIUM_SLOW,EGG_MONSTER,EGG_MONSTER,"DYNAMICPUNCH, DOUBLE_EDGE, THUNDER_WAVE, SUBMISSION, BODY_SLAM, SUBSTITUTE, TRI_ATTACK, HEADBUTT, CURSE, TOXIC, ZAP_CANNON, ROCK_SMASH, HIDDEN_POWER, HYPER_BEAM, PROTECT, RAIN_DANCE, IRON_TAIL, THUNDER, RETURN, SWAGGER, THUNDERPUNCH, REST, SLEEP_TALK, ATTRACT, FIRE_PUNCH, STRENGTH, FLASH, THUNDERBOLT, POWER_GEM"
ARBOK ,024,70,85,74,80,75,79,POISON, DRAGON ,90,147,NO_ITEM, NO_ITEM ,GENDER_F50 ,20 ,GROWTH_MEDIUM_FAST,EGG_GROUND,EGG_GROUND,"HEADBUTT, DRAGONBREATH, FLAMETHROWER, FIRE_BLAST, SUBSTITUTE, DRAGON_RAGE, CURSE, TOXIC, HIDDEN_POWER, SUNNY_DAY, HYPER_BEAM, PROTECT, GIGA_DRAIN, EARTHQUAKE, RETURN, DIG, SWAGGER, SLUDGE_BOMB, REST, SLEEP_TALK, ATTRACT, THIEF, STRENGTH, EARTH_POWER"
ARCANINE ,059,90,110,80,95,100,85,FIRE, FIRE ,75,213,BURNT_BERRY, BURNT_BERRY ,GENDER_F25 ,20 ,GROWTH_SLOW,EGG_GROUND,EGG_GROUND,"HEADBUTT, BODY_SLAM, DOUBLE_EDGE, SUBSTITUTE, DRAGON_RAGE, CURSE, ROAR, TOXIC, ROCK_SMASH, HIDDEN_POWER, SUNNY_DAY, HYPER_BEAM, PROTECT, IRON_TAIL, DRAGONBREATH, RETURN, DIG, SWAGGER, FIRE_BLAST, REST, SLEEP_TALK, ATTRACT, FLAMETHROWER"
ARIADOS ,168,75,95,72,50,65,75,BUG, POISON ,90,134,NO_ITEM, NO_ITEM ,GENDER_F50 ,15 ,GROWTH_FAST,EGG_BUG,EGG_BUG,"CURSE, SUBSTITUTE, TOXIC, HIDDEN_POWER, SUNNY_DAY, HYPER_BEAM, PROTECT, GIGA_DRAIN, SOLARBEAM, RETURN, DIG, PSYCHIC_M, SWAGGER, SLUDGE_BOMB, REST, SLEEP_TALK, ATTRACT, THIEF, FLASH"
ARTICUNO ,144,90,85,100,85,95,125,ICE, FLYING ,3,215,NO_ITEM, NO_ITEM ,GENDER_UNKNOWN ,80 ,GROWTH_SLOW,EGG_NONE,EGG_NONE,"CURSE, PSYCHIC_M, SANDSTORM, BUBBLEBEAM, DOUBLE_EDGE, SUBSTITUTE, ROAR, TOXIC, ROCK_SMASH, HIDDEN_POWER, SUNNY_DAY, BLIZZARD, HYPER_BEAM, ICY_WIND, PROTECT, RAIN_DANCE, RETURN, MUD_SLAP, SWAGGER, REST, SLEEP_TALK, STEEL_WING, FLY, ICE_BEAM"
AZUMARILL ,184,100,50,80,50,70,80,WATER, NORMAL ,75,153,NO_ITEM, NO_ITEM ,GENDER_F50 ,20 ,GROWTH_FAST,EGG_WATER_1,EGG_WATER_1,"DYNAMICPUNCH, DOUBLE_EDGE, BODY_SLAM, BUBBLEBEAM, SUBMISSION, HEADBUTT, CURSE, TOXIC, ROCK_SMASH, HIDDEN_POWER, BLIZZARD, HYPER_BEAM, ICY_WIND, PROTECT, RAIN_DANCE, IRON_TAIL, RETURN, MUD_SLAP, ICE_PUNCH, SWAGGER, REST, SLEEP_TALK, ATTRACT, SURF, STRENGTH, WHIRLPOOL, WATERFALL, ICE_BEAM"
